precio,ambientes,no_baños,terreno_m2,año_constr,no_dormitorios,area_constr_m2,estacionamientos,latitud,longitud,tipo_de_propiedad,ofertado_como,ciudad,zona,provincia,dpto
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,60.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,65.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,65.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,65.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
77912.0,,2.0,,2025,2.0,73.0,,-17.768,-63.178,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
78000.0,5.0,2.0,465.4,2022,2.0,110.0,4.0,-17.871,-63.248,Casa,En Venta,La guardia,Municipio de la Guardia, Andrés Ibáñez, Santa Cruz
78000.0,10.0,2.0,210.0,2020,3.0,120.0,,-17.812,-63.139,Casa,En Venta,Santa Cruz de la Sierra,Sureste, Andrés Ibáñez, Santa Cruz
78000.0,,3.0,250.0,2003,3.0,139.0,,-17.76,-63.095,Casa con Espacio Comercial,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
78000.0,1.0,2.0,400.0,2016,3.0,180.0,,-17.762,-63.19,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
78000.0,,1.0,,2021,1.0,47.47,,-17.768,-63.199,Departamento,En Venta,Santa Cruz de la Sierra,Noroeste, Andrés Ibáñez, Santa Cruz
78000.0,6.0,3.0,360.0,2022,4.0,145.0,,-17.824,-63.254,Casa,En Venta,Santa Cruz de la Sierra,Suroeste, Andrés Ibáñez, Santa Cruz
78000.0,5.0,1.0,379.73,2022,3.0,230.49,2.0,-17.895,-63.316,Casa con Espacio Comercial,En Venta,La guardia,LA GUARDIA SANTA CRUZ-URB. BARRIO NUEVO, Andrés Ibáñez, Santa Cruz
78000.0,8.0,2.0,366.0,2005,5.0,180.0,,-17.732,-63.117,Casa,En Venta,Santa Cruz de la Sierra,Noreste, Andrés Ibáñez, Santa Cruz
78000.0,,2.0,346.0,2016,3.0,165.0,,-17.613,-63.161,Casa,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
78000.0,4.0,2.0,,2021,2.0,83.0,,-17.687,-63.167,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
78000.0,,1.0,540.0,1994,4.0,180.0,,-17.754,-63.116,Casa,En Venta,Santa Cruz de la Sierra,Noreste, Andrés Ibáñez, Santa Cruz
78000.0,6.0,2.0,407.0,2022,3.0,144.0,3.0,-17.883,-63.238,Casa,En Venta,Santa Cruz de la Sierra,Sur, Andrés Ibáñez, Santa Cruz
78500.0,8.0,2.0,237.08,2021,3.0,141.0,,-17.763,-63.101,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
78500.0,8.0,2.0,237.08,2021,3.0,141.0,,-17.763,-63.101,Casa,En Venta,Santa Cruz de la Sierra,Este, Andrés Ibáñez, Santa Cruz
79000.0,9.0,2.0,,2014,2.0,109.0,,-17.74,-63.181,Departamento,En Venta,Santa Cruz de la Sierra,North, Andrés Ibáñez, Santa Cruz
79500.0,,2.0,,2013,2.0,81.0,1.0,-17.742,-63.174,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
79500.0,2.0,1.0,,2016,1.0,51.25,1.0,-17.762,-63.185,Departamento,En Venta,Santa Cruz de la Sierra,Norte, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
79650.0,,2.0,,2023,2.0,88.0,,-17.767,-63.246,Departamento,En Venta,Porongo,Urubo, Andrés Ibáñez, Santa Cruz
